timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-06-12 10:00:00,107507.35,107518.85,107200.0,107323.16,521.81989,1749725999999,55997372.46086500,110969,271.32435000,29116301.50227780,0
2025-06-12 11:00:00,107323.16,107349.31,106874.47,106900.95,628.23956,1749729599999,67275271.75277340,114494,237.40658000,25427890.49118830,0
2025-06-12 12:00:00,106900.95,107431.82,106870.0,106988.54,763.31238,1749733199999,81754499.16801780,122055,386.46406000,41399194.84630720,0
2025-06-12 13:00:00,106988.55,107198.75,106600.0,107070.8,920.69916,1749736799999,98462928.84787250,140294,463.30944000,49559247.55085320,0
2025-06-12 14:00:00,107070.8,107721.17,107070.8,107612.69,862.27021,1749740399999,92662749.42666560,162788,459.94476000,49426037.44697830,0
2025-06-12 15:00:00,107612.7,107822.5,106890.88,107020.95,655.00365,1749743999999,70300941.84519750,209936,275.23873000,29545952.08498690,0
2025-06-12 16:00:00,107020.96,107858.32,106985.38,107744.71,562.58066,1749747599999,60494966.09060570,190673,306.41352000,32948279.62246770,0
2025-06-12 17:00:00,107744.7,108450.16,107702.42,108287.4,769.24972,1749751199999,83170860.02327550,169118,469.17838000,50718882.34341260,0
2025-06-12 18:00:00,108287.4,108419.21,107229.47,107561.35,522.24144,1749754799999,56274911.92857490,191919,246.68111000,26584992.75464730,0
2025-06-12 19:00:00,107561.36,107879.92,106680.0,106788.8,704.93602,1749758399999,75644668.09490890,222014,271.11446000,29102331.03787260,0
2025-06-12 20:00:00,106789.8,106960.77,105772.73,105973.62,2315.98411,1749761999999,246075651.82955020,376799,865.46201000,91987633.02967250,0
2025-06-12 21:00:00,105973.61,106430.39,105860.9,105894.31,679.88503,1749765599999,72158723.35317680,225145,338.02537000,35871209.71970750,0
2025-06-12 22:00:00,105894.32,106225.4,105726.65,105890.7,576.44703,1749769199999,61052298.37445280,191846,281.77194000,29843481.94096910,0
2025-06-12 23:00:00,105890.69,106140.0,105671.72,105671.73,485.11901,1749772799999,51407223.76215990,120175,236.37187000,25053499.72389390,0
2025-06-13 00:00:00,105671.74,105694.0,103213.87,103797.81,5330.14891,1749776399999,555697984.76546010,810644,2158.34528000,224834171.63871440,0
2025-06-13 01:00:00,103797.81,103938.59,102664.31,103773.65,3550.75225,1749779999999,366598367.72070440,564660,1607.21848000,166012901.02740130,0
2025-06-13 02:00:00,103773.65,103976.64,103065.58,103641.21,1362.18578,1749783599999,141166049.44099630,311240,649.78532000,67339489.21357950,0
2025-06-13 03:00:00,103641.2,104590.0,103605.12,104277.22,1292.28749,1749787199999,134614195.96217820,228842,708.03846000,73753295.57680040,0
2025-06-13 04:00:00,104277.22,104506.36,103782.75,104404.52,700.3376,1749790799999,72925324.21273910,182992,349.25551000,36375709.28638540,0
2025-06-13 05:00:00,104404.52,104450.0,104000.0,104002.25,650.15589,1749794399999,67790951.13707920,134804,264.01392000,27529409.40674460,0
2025-06-13 06:00:00,104002.26,104722.5,103825.11,104704.26,812.26154,1749797999999,84656809.65785910,159046,500.29892000,52167818.14252000,0
2025-06-13 07:00:00,104704.27,104970.12,104376.43,104895.0,1192.2614,1749801599999,124841429.28323440,189463,772.36320000,80884221.58866260,0
2025-06-13 08:00:00,104895.01,105434.34,104690.85,104739.45,1404.55532,1749805199999,147644656.71277030,197145,911.57488000,95841637.05147850,0
2025-06-13 09:00:00,104739.44,104916.0,104500.0,104830.36,688.51868,1749808799999,72065877.46758390,155631,297.62687000,31156208.64266540,0
2025-06-13 10:00:00,104830.36,104925.1,104425.79,104874.01,531.07719,1749812399999,55616177.22087860,139835,289.36251000,30306217.30445810,0
2025-06-13 11:00:00,104874.0,105045.79,104640.0,105039.48,522.51084,1749815999999,54796551.29750520,127087,242.90203000,25475858.00126280,0
2025-06-13 12:00:00,105039.48,105290.14,104822.36,104852.29,768.82163,1749819599999,80763881.56499900,173091,383.61938000,40299799.85545570,0
2025-06-13 13:00:00,104852.28,105300.0,104674.14,104732.44,853.87525,1749823199999,89628171.10014060,250689,313.76219000,32922201.93472240,0
2025-06-13 14:00:00,104732.82,105011.76,104118.0,104970.74,1137.70532,1749826799999,118931708.08536440,299539,578.21955000,60458060.13878400,0
2025-06-13 15:00:00,104970.74,105747.47,104860.0,105436.87,1140.75299,1749830399999,120324880.87813060,302388,655.96598000,69194501.58515520,0
2025-06-13 16:00:00,105436.87,105981.0,105308.83,105783.66,1087.38893,1749833999999,114987763.88170510,198777,614.48079000,64997871.69733180,0
2025-06-13 17:00:00,105783.65,105783.65,104867.65,105390.94,775.10222,1749837599999,81624551.32812990,216175,290.58640000,30594087.37671270,0
2025-06-13 18:00:00,105390.94,105480.0,104668.73,105193.04,631.03278,1749841199999,66257575.66762450,236496,277.56562000,29142376.16408840,0
2025-06-13 19:00:00,105193.04,105436.9,104900.0,105110.0,457.01476,1749844799999,48051282.28663210,205686,202.82500000,21329280.60132740,0
2025-06-13 20:00:00,105110.01,105508.34,105020.87,105424.0,385.01118,1749848399999,40521683.66793890,152715,224.77756000,23657977.73757220,0
2025-06-13 21:00:00,105424.0,105788.79,105326.41,105612.59,270.63672,1749851999999,28564506.57886490,88758,130.55777000,13779997.61192930,0
2025-06-13 22:00:00,105612.58,105840.0,105542.0,105751.28,221.74081,1749855599999,23440147.89370130,63036,103.81869000,10974148.63178430,0
2025-06-13 23:00:00,105751.29,106179.53,105751.28,106066.59,414.68186,1749859199999,43951362.88075010,63838,266.74274000,28273115.77968290,0
2025-06-14 00:00:00,106066.59,106252.0,105703.61,105826.32,1271.508,1749862799999,134738227.94298600,130816,809.35388000,85764874.59882890,0
2025-06-14 01:00:00,105826.32,105826.33,105440.0,105470.35,1198.12686,1749866399999,126448430.35175570,102801,301.38992000,31809998.18498190,0
2025-06-14 02:00:00,105470.35,105611.67,105312.88,105374.17,288.65282,1749869999999,30430711.48719750,48698,151.42546000,15963985.61691690,0
2025-06-14 03:00:00,105374.18,105440.0,105197.96,105228.82,259.19985,1749873599999,27293109.75769730,49542,111.14698000,11703242.67536030,0
2025-06-14 04:00:00,105228.83,105397.06,105212.09,105371.07,216.26058,1749877199999,22775791.77449900,39188,112.50393000,11848432.72180780,0
2025-06-14 05:00:00,105371.08,105397.06,105233.95,105288.3,205.15438,1749880799999,21604221.25981250,32082,94.87156000,9991057.37977650,0
2025-06-14 06:00:00,105288.3,105321.82,105105.13,105105.13,221.23119,1749884399999,23272348.87562510,37185,98.17653000,10327320.67155160,0
2025-06-14 07:00:00,105105.14,105144.57,104792.98,105076.59,360.03462,1749887999999,37806345.35957340,54721,152.41113000,16003974.65929320,0
2025-06-14 08:00:00,105076.59,105132.36,104871.06,105095.03,215.34556,1749891599999,22607272.54968330,41295,95.88912000,10066608.86419220,0
2025-06-14 09:00:00,105095.04,105110.15,104850.54,104862.26,253.37215,1749895199999,26599777.47333070,37276,92.37178000,9698298.98466340,0
2025-06-14 10:00:00,104862.26,105117.07,104836.06,105011.92,145.57424,1749898799999,15283272.75405430,36930,76.43268000,8023702.47738320,0
2025-06-14 11:00:00,105011.92,105096.0,104948.38,105082.01,172.47595,1749902399999,18115615.30454280,36543,94.67693000,9944660.64264820,0
2025-06-14 12:00:00,105082.01,105100.0,104745.1,105053.63,267.44126,1749905999999,28062850.51754330,57315,118.92833000,12480739.60704850,0
2025-06-14 13:00:00,105053.64,105131.25,104902.28,105017.41,263.02313,1749909599999,27620484.90662250,51822,117.78747000,12369977.96528720,0
2025-06-14 14:00:00,105017.41,105060.42,104841.96,104913.01,157.82263,1749913199999,16564281.18316740,42600,64.86631000,6808200.99707670,0
2025-06-14 15:00:00,104913.01,104983.05,104615.38,104841.3,356.85346,1749916799999,37397273.40943360,70910,137.89468000,14451922.80316960,0
2025-06-14 16:00:00,104841.29,104900.0,104359.5,104457.85,672.80896,1749920399999,70348935.76818180,99059,262.09483000,27412160.20910990,0
2025-06-14 17:00:00,104457.84,104721.53,104404.9,104608.17,342.50861,1749923999999,35819297.67386810,64123,125.83327000,13157880.21481420,0
2025-06-14 18:00:00,104608.18,104995.72,104608.17,104674.45,110.31553,1749927599999,11563644.44076180,25427,51.47112000,5394255.49010920,0
